StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,check,check_7_TEXT,1A_acceptance,2B_acceptance,3A_acceptance,4B_acceptance,5A_acceptance,6B_acceptance,7A_acceptance,8B_acceptance,9A_acceptance,10B_acceptance,11A_acceptance,12B_acceptance,13A_acceptance,14B_acceptance,15A_acceptance,16B_acceptance,17A_acceptance,18B_acceptance,1B_acceptance,2A_acceptance,3B_acceptance,4A_acceptance,5B_acceptance,6A_acceptance,7B_acceptance,8A_acceptance,9B_acceptance,10A_acceptance,11B_acceptance,12A_acceptance,13B_acceptance,14A_acceptance,15B_acceptance,16A_acceptance,17B_acceptance,18A_acceptance,serious
2018-12-22 15:32:32,2018-12-22 15:37:16,0,67.245.12.9,100,283,1,2018-12-22 15:37:17,R_djqARF0YCRTk0nv,,,,,40.666900634765625,-73.9828033447265625,anonymous,EN,1,1,48,7,I read the instructions,,,,,,,,,,,,,,,,,,,1,2,,1,,,2,4,,,1,3,,2,,3,4,,1
2018-12-22 15:25:51,2018-12-22 15:37:17,0,117.204.146.173,100,686,1,2018-12-22 15:37:18,R_1kFADY5vlvNMCD7,,,,,23.033294677734375,72.61669921875,anonymous,EN,1,2,43,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,4,,5,3,,3,1,6,,5,6,,7,6,,,1
2018-12-22 15:33:11,2018-12-22 15:37:52,0,108.201.15.80,100,280,1,2018-12-22 15:37:52,R_3plkXutdTXzUo9v,,,,,39.7187042236328125,-82.6031036376953125,anonymous,EN,1,2,65,7,I read the instructions,2,3,5,3,4,,5,4,,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:32:33,2018-12-22 15:38:01,0,76.25.129.168,100,328,1,2018-12-22 15:38:01,R_ZwsigGaHbSJdbON,,,,,39.825897216796875,-104.9113006591796875,anonymous,EN,1,2,54,7,I read the instructions,5,2,5,4,,,6,,,4,5,,,,,4,6,4,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:35:30,2018-12-22 15:38:13,0,24.18.153.117,100,162,1,2018-12-22 15:38:13,R_UlumWs1lOfF2zOp,,,,,47.3202972412109375,-122.31169891357421875,anonymous,EN,1,1,28,7,I read the instructions,,,,,,,,,,,,,,,,,,,6,6,,5,,,3,4,2,4,,,2,,,,3,5,1
2018-12-22 15:29:50,2018-12-22 15:39:12,0,27.59.210.56,100,562,1,2018-12-22 15:39:13,R_1kOA463Wpc6x3NI,,,,,17.37530517578125,78.474395751953125,anonymous,EN,1,2,28,7,"I read the instructions ",,5,7,,2,4,,2,2,,,4,7,6,7,,,,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:32:24,2018-12-22 15:40:05,0,122.178.117.121,100,460,1,2018-12-22 15:40:05,R_2pSIBiqmiT205AT,,,,,10.99249267578125,76.961395263671875,anonymous,EN,1,1,38,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,2,,4,5,,,,,1,5,6,3,3,1,,2,1
2018-12-22 15:36:00,2018-12-22 15:40:52,0,96.241.136.178,100,292,1,2018-12-22 15:40:53,R_0BWzYlxI2slA0St,,,,,38.4586029052734375,-77.43060302734375,anonymous,EN,1,1,24,7,I read the instructions,,,,,,,,,,,,,,,,,,,3,6,,5,,4,3,6,5,,,,4,4,,6,,,1
2018-12-22 15:39:07,2018-12-22 15:43:18,0,68.81.42.79,100,250,1,2018-12-22 15:43:18,R_3RrPCWErzDhojjc,,,,,40.265899658203125,-75.38829803466796875,anonymous,EN,1,2,59,7,I read the instructions,,,,,,3,,6,5,,3,2,5,3,6,,6,5,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:28:56,2018-12-22 15:44:13,0,171.49.198.107,100,916,1,2018-12-22 15:44:13,R_33D3dQ1CeeN3EDy,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,1,1,29,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,7,2,3,,,,,4,3,4,7,,7,,5,2,1
2018-12-22 15:40:57,2018-12-22 15:44:32,0,66.66.153.4,100,215,1,2018-12-22 15:44:32,R_1MSdEsAhNgaF9BK,,,,,43.220306396484375,-77.59940338134765625,anonymous,EN,1,1,41,7,I read the instructions,,,,,,,,,,,,,,,,,,,3,,2,,5,4,1,6,1,5,2,,,,,,3,,1
2018-12-22 15:39:27,2018-12-22 15:48:53,0,157.46.27.170,100,566,1,2018-12-22 15:48:54,R_1LcADgCRG1yGgd8,,,,,10.99249267578125,76.961395263671875,anonymous,EN,1,1,39,7,I read the instructions,7,,,4,7,,7,,3,1,,,7,7,7,,,7,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:49:06,2018-12-22 15:52:12,0,96.36.47.46,100,185,1,2018-12-22 15:52:13,R_ODKwGiSVDcIoKkh,,,,,42.2624053955078125,-85.60959625244140625,anonymous,EN,1,1,34,7,I read the instructions,,4,4,,1,3,,1,,,2,4,4,,,2,4,,,,,,,,,,,,,,,,,,,,2
2018-12-22 15:50:01,2018-12-22 15:55:32,0,73.75.151.81,100,330,1,2018-12-22 15:55:34,R_xDvIL7vL8aoQ44V,,,,,41.7100982666015625,-85.972900390625,anonymous,EN,1,1,53,7,I read the instructions,5,6,4,5,,5,,,6,,6,7,,,,2,,3,,,,,,,,,,,,,,,,,,,1
2018-12-22 15:50:13,2018-12-22 16:00:35,0,77.111.246.94,100,622,1,2018-12-22 16:00:35,R_1Lk9ZudInOBuufA,,,,,47,8,anonymous,EN,1,1,32,7,I read the instructions,,,,,,,,,,,,,,,,,,,,7,6,,,4,,,,,4,2,6,7,3,6,,2,1
2018-12-22 15:55:30,2018-12-22 16:03:03,0,108.94.42.228,100,453,1,2018-12-22 16:03:04,R_2cBZNZFqnqSOGb8,,,,,39.897705078125,-86.1797027587890625,anonymous,EN,1,1,60,7,I read the instructions,,,,,,,,,,,,,,,,,,,,6,,7,4,,2,6,,,,5,,6,,5,4,5,1
2018-12-22 16:05:15,2018-12-22 16:07:13,0,122.174.164.206,100,118,1,2018-12-22 16:07:13,R_10CKSZkSVdqh9db,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,1,1,28,7,I read the instructions,,,,,,,,,,,,,,,,,,,6,4,5,,,4,,,4,4,4,4,,,6,6,,,1
2018-12-22 16:00:48,2018-12-22 16:08:13,0,73.139.146.195,100,444,1,2018-12-22 16:08:14,R_3suZkaCXZDRSfyC,,,,,25.997406005859375,-80.324798583984375,anonymous,EN,1,1,29,7,I read the instructions,,,3,,,4,6,5,,3,,7,,6,5,3,7,,,,,,,,,,,,,,,,,,,,1
2018-12-22 16:05:51,2018-12-22 16:11:22,0,162.224.168.174,100,331,1,2018-12-22 16:11:23,R_79ZFkLuxCmxInJL,,,,,26.0160980224609375,-80.151702880859375,anonymous,EN,1,1,29,7,I read the instructions,,,,,,,,,,,,,,,,,,,1,,,7,7,,1,7,,7,,,4,,7,,1,7,1
2018-12-22 16:03:56,2018-12-22 16:12:52,0,75.178.78.58,100,536,1,2018-12-22 16:12:53,R_3oRAt1d5fQ9RynX,,,,,34.26800537109375,-78.05780029296875,anonymous,EN,1,2,31,7,I read the instructions.,6,1,,,,,4,5,7,3,,,6,,7,,6,6,,,,,,,,,,,,,,,,,,,1
