P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
15,5,1,0,0,0,High
15,6,2,0,0,0,Low
15,7,1,0,0,0,High
15,8,2,0,0,0,Low
15,9,1,0,0,0,High
15,10,2,0,0,0,Low
15,11,1,0,0,0,High
15,12,2,0,0,0,Low
15,13,1,0,0,0,High
15,14,2,0,0,0,Low
15,15,1,0,0,0,High
15,16,2,0,0,0,Low
15,17,1,1,0,0,High
15,18,2,0,0,0,Low
16,1,2,0,0,0,Low
16,2,1,0,0,0,High
16,3,2,1,0,0,Low
16,4,1,0,0,0,High
16,5,2,0,0,0,Low
16,6,1,0,0,0,High
16,7,2,0,0,0,Low
16,8,1,0,0,0,High
16,9,2,0,0,0,Low
16,10,1,1,0,0,High
16,11,2,0,0,0,Low
16,12,1,0,1,0,High
16,13,2,1,0,0,Low
16,14,1,0,0,0,High
16,15,2,0,0,0,Low
16,16,1,0,0,0,High
16,17,2,0,0,0,Low
16,18,1,1,0,0,High
17,1,1,0,0,0,High
17,2,2,0,0,0,Low
17,3,1,0,0,0,High
17,4,2,1,0,0,Low
17,5,1,0,0,0,High
17,6,2,1,0,0,Low
17,7,1,1,0,0,High
17,8,2,0,0,0,Low
17,9,1,0,0,0,High
17,10,2,1,0,0,Low
17,11,1,0,0,0,High
17,12,2,1,0,0,Low
17,13,1,1,0,0,High
17,14,2,0,0,0,Low
17,15,1,0,0,0,High
17,16,2,0,0,0,Low
17,17,1,0,0,0,High
17,18,2,0,0,0,Low
18,1,2,1,0,0,Low
18,2,1,0,0,0,High
18,3,2,1,0,0,Low
18,4,1,0,0,0,High
18,5,2,0,0,0,Low
18,6,1,1,0,0,High
18,7,2,1,0,0,Low
18,8,1,0,0,0,High
18,9,2,0,0,0,Low
18,10,1,0,0,0,High
18,11,2,0,0,0,Low
18,12,1,0,0,0,High
18,13,2,1,1,0,Low
18,14,1,0,0,0,High
18,15,2,0,0,0,Low
18,16,1,0,0,0,High
18,17,2,0,0,0,Low
18,18,1,1,0,0,High
19,1,1,0,0,0,High
19,2,2,0,0,0,Low
19,3,1,0,0,0,High
19,4,2,0,0,0,Low
19,5,1,1,0,0,High
19,6,2,0,0,0,Low
19,7,1,0,0,0,High
19,8,2,1,0,0,Low
19,9,1,1,0,0,High
19,10,2,0,0,0,Low
19,11,1,0,0,0,High
19,12,2,0,0,0,Low
19,13,1,0,0,0,High
19,14,2,0,0,0,Low
19,15,1,0,0,0,High
19,16,2,1,0,0,Low
19,17,1,0,0,0,High
19,18,2,0,0,0,Low
20,1,2,0,0,0,Low
20,2,1,0,0,0,High
20,3,2,0,0,0,Low
20,4,1,0,0,0,High
20,5,2,0,0,0,Low
20,6,1,0,0,0,High
20,7,2,1,0,0,Low
20,8,1,0,0,0,High
20,9,2,0,0,0,Low
20,10,1,0,0,0,High
20,11,2,0,0,0,Low
20,12,1,0,0,0,High
20,13,2,0,0,0,Low
20,14,1,1,0,0,High
20,15,2,0,0,0,Low
20,16,1,0,0,0,High
20,17,2,0,0,0,Low
20,18,1,0,0,0,High
21,1,1,0,0,0,High
21,2,2,0,0,0,Low
21,3,1,0,0,0,High
21,4,2,0,0,0,Low
21,5,1,0,0,0,High
21,6,2,0,0,0,Low
21,7,1,0,0,0,High
21,8,2,0,0,0,Low
21,9,1,0,0,0,High
21,10,2,1,1,0,Low
21,11,1,0,1,0,High
21,12,2,1,0,0,Low
21,13,1,0,0,0,High
21,14,2,1,0,0,Low
21,15,1,0,0,0,High
21,16,2,0,0,0,Low
21,17,1,0,0,0,High
21,18,2,0,0,0,Low
22,1,2,1,0,0,Low
22,2,1,0,0,0,High
22,3,2,1,0,0,Low
22,4,1,0,0,0,High
22,5,2,0,0,0,Low
22,6,1,0,0,0,High
22,7,2,0,0,0,Low
22,8,1,0,0,0,High
22,9,2,0,0,0,Low
22,10,1,0,0,0,High
22,11,2,0,0,0,Low
22,12,1,0,0,0,High
22,13,2,0,0,0,Low
22,14,1,1,0,0,High
22,15,2,0,0,0,Low
22,16,1,0,0,0,High
22,17,2,0,0,0,Low
22,18,1,0,0,0,High
23,1,1,0,0,0,High
23,2,2,0,1,0,Low
23,3,1,0,0,0,High
23,4,2,1,0,0,Low
23,5,1,0,0,0,High
23,6,2,1,0,0,Low
23,7,1,1,0,0,High
23,8,2,0,0,0,Low
23,9,1,0,0,0,High
23,10,2,1,0,0,Low
23,11,1,0,0,0,High
23,12,2,0,0,0,Low
23,13,1,0,0,0,High
23,14,2,0,0,0,Low
23,15,1,1,0,0,High
23,16,2,1,0,0,Low
23,17,1,0,0,0,High
23,18,2,0,0,0,Low
24,1,2,0,0,0,Low
24,2,1,0,0,0,High
24,3,2,0,0,0,Low
24,4,1,0,1,0,High
24,5,2,0,0,0,Low
24,6,1,1,0,0,High
24,7,2,0,0,0,Low
24,8,1,0,0,0,High
24,9,2,1,0,0,Low
24,10,1,1,0,0,High
24,11,2,0,0,0,Low
24,12,1,0,0,0,High
24,13,2,1,0,0,Low
24,14,1,0,0,0,High
24,15,2,0,0,0,Low
24,16,1,0,0,0,High
24,17,2,0,0,0,Low
24,18,1,0,1,0,High
