P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
8,16,1,369,638,2885,High
8,17,2,1560,410,1037,Low
8,18,1,934,687,1699,High
9,1,1,476,397,1335,High
9,2,2,1000,1373,2704,Low
9,3,1,430,701,1291,High
9,4,2,389,910,1739,Low
9,5,1,569,1101,1959,High
9,6,2,1239,1485,1895,Low
9,7,1,852,919,1627,High
9,8,2,523,696,1455,Low
9,9,1,560,881,1575,High
9,10,2,1280,1123,2798,Low
9,11,1,1411,976,2768,High
9,12,2,819,798,2482,Low
9,13,1,967,501,2310,High
9,14,2,607,791,1279,Low
9,15,1,578,924,2748,High
9,16,2,496,941,2847,Low
9,17,1,869,449,1657,High
9,18,2,310,787,2913,Low
10,1,2,585,606,2694,Low
10,2,1,526,450,5731,High
10,3,2,473,827,5539,Low
10,4,1,516,704,,High
10,5,2,654,691,7333,Low
10,6,1,994,1062,3498,High
10,7,2,649,2932,2469,Low
10,8,1,587,571,5764,High
10,9,2,3044,1963,16374,Low
10,10,1,1395,1153,1274,High
10,11,2,585,496,1999,Low
10,12,1,596,452,5898,High
10,13,2,,1716,4587,Low
10,14,1,1664,4329,1750,High
10,15,2,535,1065,14954,Low
10,16,1,1835,569,15127,High
10,17,2,1571,1164,15345,Low
10,18,1,315,471,841,High
11,1,1,181,313,1489,High
11,2,2,938,384,1643,Low
11,3,1,1483,3182,1074,High
11,4,2,407,700,1761,Low
11,5,1,340,775,2193,High
11,6,2,786,1076,1460,Low
11,7,1,284,321,830,High
11,8,2,806,502,1203,Low
11,9,1,520,802,1355,High
11,10,2,1563,1413,3048,Low
11,11,1,462,524,1937,High
11,12,2,460,3273,1498,Low
11,13,1,761,182,1342,High
11,14,2,644,791,1872,Low
11,15,1,493,855,2204,High
11,16,2,419,449,1588,Low
11,17,1,649,304,2002,High
11,18,2,579,916,526,Low
12,1,2,511,679,672,Low
12,2,1,266,822,,High
12,3,2,938,579,1516,Low
12,4,1,617,743,7083,High
12,5,2,1248,8567,706,Low
12,6,1,1543,621,1635,High
12,7,2,333,2177,2947,Low
12,8,1,892,553,1075,High
12,9,2,367,857,1188,Low
12,10,1,1684,1590,1321,High
12,11,2,1383,687,4641,Low
12,12,1,327,439,1544,High
12,13,2,217,408,6676,Low
12,14,1,906,352,1308,High
12,15,2,,1141,1425,Low
12,16,1,1154,564,2973,High
12,17,2,1068,721,2751,Low
12,18,1,313,200,1470,High
13,1,1,2816,2089,2310,High
13,2,2,1850,1463,2152,Low
13,3,1,707,1306,4888,High
13,4,2,1119,3806,4206,Low
13,5,1,705,2407,2458,High
13,6,2,,,8622,Low
13,7,1,634,1163,2206,High
13,8,2,869,1148,3913,Low
13,9,1,2005,1483,2211,High
13,10,2,2528,1773,3309,Low
13,11,1,1405,1319,3620,High
13,12,2,437,901,2852,Low
13,13,1,1014,842,3462,High
13,14,2,983,492,3802,Low
13,15,1,,4454,3230,High
13,16,2,1258,678,7661,Low
13,17,1,1349,1085,1954,High
13,18,2,440,871,2044,Low
14,1,2,1276,854,3791,Low
14,2,1,1141,873,5906,High
14,3,2,636,1161,3592,Low
14,4,1,841,2112,4757,High
14,5,2,922,1800,4004,Low
14,6,1,2764,792,3728,High
14,7,2,823,1080,3996,Low
14,8,1,979,1314,2719,High
14,9,2,1171,1403,3013,Low
14,10,1,1065,2894,3029,High
14,11,2,1300,1773,4522,Low
14,12,1,2909,1422,5474,High
14,13,2,559,851,5649,Low
14,14,1,1666,1014,3892,High
14,15,2,609,2024,,Low
14,16,1,769,1684,4601,High
14,17,2,1531,999,4216,Low
14,18,1,822,926,3211,High
15,1,1,706,545,2209,High
15,2,2,470,344,2993,Low
15,3,1,239,503,1912,High
15,4,2,669,654,4659,Low
15,5,1,361,616,3102,High
15,6,2,921,610,2404,Low
15,7,1,158,762,2459,High
15,8,2,407,446,1887,Low
15,9,1,792,937,3113,High
15,10,2,600,1152,5025,Low
15,11,1,621,510,1565,High
15,12,2,903,758,2592,Low
15,13,1,1503,461,1929,High
15,14,2,991,1509,3706,Low
15,15,1,473,739,3643,High
15,16,2,620,978,4070,Low
15,17,1,1225,887,2132,High
15,18,2,317,334,1456,Low
16,1,2,1899,2555,3014,Low
16,2,1,2412,844,,High
16,3,2,842,1464,2634,Low
16,4,1,1270,1578,4877,High
16,5,2,743,385,2227,Low
16,6,1,1307,1122,4230,High
16,7,2,1256,2571,6367,Low
16,8,1,1459,1250,2713,High
16,9,2,908,1042,3197,Low
16,10,1,2177,1829,5293,High
16,11,2,1639,946,5289,Low
16,12,1,679,1546,6015,High
16,13,2,550,1209,3918,Low
16,14,1,760,884,2061,High
16,15,2,716,1085,,Low
16,16,1,519,359,1475,High
16,17,2,350,436,869,Low
16,18,1,,,4447,High
17,1,1,138,297,1553,High
17,2,2,467,600,2343,Low
17,3,1,224,461,1390,High
17,4,2,308,776,10871,Low
17,5,1,544,579,1459,High
17,6,2,818,4527,1685,Low
17,7,1,421,1010,1677,High
17,8,2,186,509,1306,Low
17,9,1,308,618,1968,High
17,10,2,1663,797,7482,Low
17,11,1,613,438,2106,High
17,12,2,330,1397,3277,Low
17,13,1,,396,1254,High
17,14,2,643,1953,1265,Low
17,15,1,355,668,4461,High
17,16,2,184,340,5914,Low
17,17,1,272,419,2364,High
17,18,2,251,262,1457,Low
18,1,2,646,665,2246,Low
18,2,1,1133,670,2091,High
18,3,2,2162,1137,2972,Low
18,4,1,1600,1750,2892,High
18,5,2,1590,1055,2170,Low
18,6,1,1350,2360,4167,High
18,7,2,1764,1631,2477,Low
18,8,1,1321,1013,3046,High
18,9,2,992,1632,2400,Low
18,10,1,1510,1429,2653,High
18,11,2,1085,1229,3982,Low
18,12,1,659,1335,3343,High
18,13,2,,2712,3529,Low
18,14,1,1209,585,1843,High
18,15,2,1180,1698,2840,Low
18,16,1,609,776,4461,High
18,17,2,1276,824,2803,Low
18,18,1,954,1273,2804,High
19,1,1,445,461,1052,High
19,2,2,377,428,1149,Low
19,3,1,775,403,1512,High
19,4,2,668,1481,2652,Low
19,5,1,354,1018,742,High
19,6,2,672,426,1551,Low
19,7,1,226,562,2284,High
19,8,2,266,414,1471,Low
19,9,1,1047,950,3311,High
19,10,2,145,539,1046,Low
19,11,1,649,483,1879,High
19,12,2,419,727,3297,Low
19,13,1,1049,517,2819,High
19,14,2,781,189,652,Low
19,15,1,476,451,1176,High
19,16,2,504,512,1886,Low
19,17,1,743,243,667,High
19,18,2,280,652,1031,Low
20,1,2,780,339,793,Low
20,2,1,1200,1132,3462,High
20,3,2,459,1122,2761,Low
20,4,1,1102,1735,3827,High
20,5,2,792,2046,2403,Low
20,6,1,,,6308,High
20,7,2,946,1749,2485,Low
20,8,1,857,2044,2395,High
20,9,2,1370,1756,1771,Low
20,10,1,1591,1505,2003,High
20,11,2,1641,1033,4957,Low
20,12,1,1492,1109,1291,High
20,13,2,756,778,2876,Low
20,14,1,1564,832,2415,High
20,15,2,530,1847,3503,Low
20,16,1,851,574,3858,High
20,17,2,1334,671,4094,Low
20,18,1,1041,1094,2620,High
21,1,1,321,341,956,High
21,2,2,681,516,2225,Low
21,3,1,530,1749,3105,High
21,4,2,594,641,2779,Low
21,5,1,274,826,2541,High
21,6,2,953,4839,3523,Low
21,7,1,508,1033,3162,High
21,8,2,2230,800,2389,Low
21,9,1,1361,2026,1389,High
21,10,2,915,2399,1557,Low
21,11,1,461,882,5432,High
21,12,2,376,826,3469,Low
21,13,1,632,620,1730,High
21,14,2,396,702,1544,Low
21,15,1,249,1505,3312,High
21,16,2,970,563,3515,Low
21,17,1,365,591,1594,High
21,18,2,675,402,1105,Low
22,1,2,767,678,3222,Low
22,2,1,530,574,3161,High
22,3,2,532,527,5411,Low
22,4,1,982,1001,1706,High
22,5,2,331,552,1945,Low
22,6,1,620,390,1080,High
22,7,2,347,1000,1725,Low
22,8,1,513,569,4369,High
22,9,2,537,743,1092,Low
22,10,1,929,850,2397,High
22,11,2,1708,882,4739,Low
22,12,1,903,395,2575,High
22,13,2,513,609,3309,Low
22,14,1,589,1126,3379,High
22,15,2,336,809,2153,Low
22,16,1,402,1109,4195,High
22,17,2,761,326,764,Low
22,18,1,2303,1040,4316,High
23,1,1,402,735,1081,High
23,2,2,2257,461,3019,Low
23,3,1,545,691,2058,High
23,4,2,715,1746,2288,Low
23,5,1,1455,1335,1529,High
23,6,2,1277,,3249,Low
23,7,1,1768,2638,3093,High
23,8,2,2737,1514,3748,Low
23,9,1,1210,1712,2699,High
23,10,2,2832,2502,2294,Low
23,11,1,976,845,2838,High
23,12,2,640,640,6613,Low
23,13,1,729,677,6662,High
23,14,2,1336,2719,1643,Low
23,15,1,507,5760,2551,High
23,16,2,4589,3759,2155,Low
23,17,1,,,4435,High
23,18,2,632,2444,2164,Low
24,1,2,552,505,1813,Low
24,2,1,319,478,2271,High
24,3,2,286,1081,1306,Low
24,4,1,152,,3183,High
24,5,2,338,621,2054,Low
24,6,1,1336,878,2924,High
24,7,2,399,1003,3372,Low
24,8,1,762,529,1150,High
24,9,2,1135,1262,2407,Low
24,10,1,497,1968,3672,High
24,11,2,1550,569,3403,Low
24,12,1,889,413,1835,High
24,13,2,710,934,3610,Low
24,14,1,1178,824,1335,High
24,15,2,1813,770,2499,Low
24,16,1,523,542,2510,High
24,17,2,1064,299,1531,Low
24,18,1,272,256,1233,High
